,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：392yd,Hdcp：7,PAR：4,Reg.：311yd,Hdcp：15,PAR：4,Reg.：362yd,Hdcp：9
1,長いミドルホール,長いミドルホール,長いミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール
2,難易度2位/18ホール中 平均スコア5.76 平均パット数2.08 パーオン率12.3% フェアウェイ率56.8% OB率45.8% バンカー率21.0%,難易度2位/18ホール中 平均スコア5.76 平均パット数2.08 パーオン率12.3% フェアウェイ率56.8% OB率45.8% バンカー率21.0%,難易度2位/18ホール中 平均スコア5.76 平均パット数2.08 パーオン率12.3% フェアウェイ率56.8% OB率45.8% バンカー率21.0%,難易度14位/18ホール中 平均スコア5.2 平均パット数2.12 パーオン率35.8% フェアウェイ率53.8% OB率33.8% バンカー率33.3%,難易度14位/18ホール中 平均スコア5.2 平均パット数2.12 パーオン率35.8% フェアウェイ率53.8% OB率33.8% バンカー率33.3%,難易度14位/18ホール中 平均スコア5.2 平均パット数2.12 パーオン率35.8% フェアウェイ率53.8% OB率33.8% バンカー率33.3%,難易度13位/18ホール中 平均スコア5.23 平均パット数2.09 パーオン率32.8% フェアウェイ率65.0% OB率34.5% バンカー率19.8%,難易度13位/18ホール中 平均スコア5.23 平均パット数2.09 パーオン率32.8% フェアウェイ率65.0% OB率34.5% バンカー率19.8%,難易度13位/18ホール中 平均スコア5.23 平均パット数2.09 パーオン率32.8% フェアウェイ率65.0% OB率34.5% バンカー率19.8%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：187yd,Hdcp：13,PAR：5,Reg.：516yd,Hdcp：1,PAR：3,Reg.：181yd,Hdcp：17
5,ショートホール,ショートホール,ショートホール,Ｓ字のロングホール,Ｓ字のロングホール,Ｓ字のロングホール,ショートホール,ショートホール,ショートホール
6,難易度15位/18ホール中 平均スコア4.31 平均パット数2.31 パーオン率27.5% フェアウェイ率- OB率24.3% バンカー率17.8%,難易度15位/18ホール中 平均スコア4.31 平均パット数2.31 パーオン率27.5% フェアウェイ率- OB率24.3% バンカー率17.8%,難易度15位/18ホール中 平均スコア4.31 平均パット数2.31 パーオン率27.5% フェアウェイ率- OB率24.3% バンカー率17.8%,難易度6位/18ホール中 平均スコア6.42 平均パット数2.12 パーオン率30.3% フェアウェイ率65.3% OB率38.0% バンカー率20.3%,難易度6位/18ホール中 平均スコア6.42 平均パット数2.12 パーオン率30.3% フェアウェイ率65.3% OB率38.0% バンカー率20.3%,難易度6位/18ホール中 平均スコア6.42 平均パット数2.12 パーオン率30.3% フェアウェイ率65.3% OB率38.0% バンカー率20.3%,難易度17位/18ホール中 平均スコア3.98 平均パット数2.1 パーオン率32.0% フェアウェイ率- OB率11.8% バンカー率12.3%,難易度17位/18ホール中 平均スコア3.98 平均パット数2.1 パーオン率32.0% フェアウェイ率- OB率11.8% バンカー率12.3%,難易度17位/18ホール中 平均スコア3.98 平均パット数2.1 パーオン率32.0% フェアウェイ率- OB率11.8% バンカー率12.3%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：330yd,Hdcp：11,PAR：5,Reg.：485yd,Hdcp：3,PAR：4,Reg.：420yd,Hdcp：5
9,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,長いミドルホール,長いミドルホール,長いミドルホール
10,難易度11位/18ホール中 平均スコア5.28 平均パット数2.13 パーオン率31.3% フェアウェイ率60.0% OB率26.0% バンカー率29.0%,難易度11位/18ホール中 平均スコア5.28 平均パット数2.13 パーオン率31.3% フェアウェイ率60.0% OB率26.0% バンカー率29.0%,難易度11位/18ホール中 平均スコア5.28 平均パット数2.13 パーオン率31.3% フェアウェイ率60.0% OB率26.0% バンカー率29.0%,難易度12位/18ホール中 平均スコア6.17 平均パット数2.1 パーオン率36.5% フェアウェイ率71.8% OB率32.3% バンカー率25.8%,難易度12位/18ホール中 平均スコア6.17 平均パット数2.1 パーオン率36.5% フェアウェイ率71.8% OB率32.3% バンカー率25.8%,難易度12位/18ホール中 平均スコア6.17 平均パット数2.1 パーオン率36.5% フェアウェイ率71.8% OB率32.3% バンカー率25.8%,難易度3位/18ホール中 平均スコア5.64 平均パット数2.06 パーオン率12.5% フェアウェイ率50.0% OB率31.3% バンカー率29.8%,難易度3位/18ホール中 平均スコア5.64 平均パット数2.06 パーオン率12.5% フェアウェイ率50.0% OB率31.3% バンカー率29.8%,難易度3位/18ホール中 平均スコア5.64 平均パット数2.06 パーオン率12.5% フェアウェイ率50.0% OB率31.3% バンカー率29.8%
