,りんどう,1,2,3,4,5,6,7,8,9,計
0,Par,5D,3N,4,5,4,3N,4,4D,4,36
1,A01_BackT.,516,137,328,497,325,129,406,379,363,3080
2,A02_Reg.,502,127,313,468,311,117,394,358,350,2940
3,A03_Gold,481,120,302,448,300,106,372,349,339,2817
4,A04_Ladies,407,120,302,381,274,106,257,316,310,2473
5,B01_BackT.,510,137,341,485,309,166,412,367,357,3084
6,B02_Reg.,496,127,326,456,295,154,400,346,344,2944
7,B03_Gold,475,120,315,436,284,143,378,337,333,2821
8,B04_Ladies,401,120,315,369,258,143,263,304,304,2477
9,Hdcp,2,8,5,4,1,7,3,9,6,­
